species,decimallatitude,decimallongitude,wc2.1_30s_bio_12,wc2.1_30s_elev,distance_to_water,ndvi
Ardea alba,19.66627,85.16491,1313.0,6.0,0.925,0.4425155055988999
Ardea alba,21.56156,83.749756,1508.0,250.0,0.925,0.5393713443296183
Ardea alba,21.280357,83.91239,1558.0,130.0,0.0,0.3552522412410374
Ardea alba,20.277283,83.33768,1383.0,188.0,14.359861,0.4736650126222584
Ardea alba,20.888094,83.918,1444.0,116.0,2.9251068,0.4609994085608
Ardea alba,19.5978,85.1236,1310.0,23.0,0.925,0.6254149884397546
Ardea alba,19.256514,84.23351,1686.0,589.0,21.093245,0.5674575389568812
Ardea alba,21.594086,83.87164,1563.0,188.0,0.0,0.3294917794840709
Ardea alba,21.54395,86.81518,1653.0,28.0,6.67027,0.5239950315594566
Ardea alba,19.745514,84.438286,1353.0,89.0,0.925,0.4291350224935309
Ardea alba,19.858864,85.65066,1405.0,8.0,0.925,0.5582359275720332
Ardea alba,18.574738,82.929665,1536.0,907.0,17.452866,0.5218650228322453
Ardea alba,20.771126,83.332115,1378.0,192.0,38.239548,0.4662538066185944
Ardea alba,20.43506,86.16615,1612.0,14.0,1.85,0.447869485141203
Ardea alba,20.04666,85.537445,1471.0,34.0,6.2050886,0.4720519905284437
Ardea alba,19.651358,82.58463,1393.0,372.0,43.188686,0.4756497462264554
Ardea alba,20.072002,86.16921,1476.0,6.0,0.0,0.2962304099556133
Ardea alba,20.78869,85.27221,1351.0,76.0,2.068363,0.3828796740538799
Ardea alba,18.735285,83.03026,1659.0,1248.0,15.505825,0.5219803729693223
Ardea alba,21.69443,83.89255,1542.0,198.0,0.925,0.3950243673672847
Ardea alba,19.752432,85.22915,1335.0,5.0,0.925,0.4189115413023066
Ardea alba,21.16236,83.24278,1345.0,263.0,15.725,0.5615874079878409
Ardea alba,21.035124,84.63997,1437.0,290.0,28.193539,0.6390205349472498
Ardea alba,21.426271,86.85549,1594.0,14.0,9.832885,0.5421720115852511
Ardea alba,22.11238,86.090294,1407.0,309.0,15.752182,0.4778906119075866
Ardea alba,20.361727,85.19501,1350.0,51.0,0.925,0.3695781280012439
Ardea alba,20.251757,85.64293,1539.0,64.0,10.175,0.5408437671747114
Ardea alba,20.806404,86.07182,1552.0,29.0,2.9251068,0.5188311748732628
Ardea alba,21.092995,84.11816,1527.0,179.0,8.273452,0.5378104547586063
Ardea alba,21.910938,86.74898,1600.0,49.0,14.943832,0.5629412096105026
Ardea alba,21.49467,85.53499,1574.0,728.0,19.860592,0.6367261465544882
Ardea alba,18.757017,82.71423,1577.0,884.0,0.925,0.3323442502249931
Ardea alba,19.864359,83.17343,1393.0,271.0,16.546904,0.4873270133405261
Ardea alba,20.706244,83.48777,1402.0,188.0,25.128695,0.413707343429192
Ardea alba,19.80949,83.05182,1367.0,254.0,30.62295,0.5370260321126611
Ardea alba,19.829123,82.83763,1325.0,229.0,48.321846,0.5210671496332523
Ardea alba,21.446463,83.710335,1492.0,186.0,9.832885,0.5098310894795588
Ardea alba,20.710022,86.136986,1576.0,21.0,3.7,0.4367087270649822
Ardea alba,19.80745,85.724,1367.0,7.0,0.0,0.5204817304322522
Ardea alba,20.724178,84.69042,1366.0,302.0,11.253111,0.7095356791533357
Ardea alba,21.42721,85.05517,1392.0,135.0,0.925,0.531563713205115
Ardea alba,20.18843,83.50829,1390.0,202.0,26.632933,0.562772098147742
Ardea alba,20.583485,86.0328,1599.0,20.0,12.060524,0.4913430837569631
Ardea alba,21.387691,83.85325,1564.0,169.0,8.273452,0.5366477123142936
Ardea alba,19.89525,85.50408,1403.0,4.0,0.0,0.481181489650327
Ardea alba,19.289503,84.79054,1247.0,16.0,6.67027,0.503842918071606
Ardea alba,20.261281,86.632182,1424.0,3.0,0.0,0.3276421217199042
Ardea alba,20.634617,86.30043,1607.0,10.0,3.8138728,0.4590880501374283
Ardea alba,21.13505,86.66803,1602.0,10.0,6.734102,0.4801398465812866
Ardea alba,20.138712,86.19764,1504.0,11.0,4.136726,0.5426841043165455
Ardea alba,19.858284,85.9355,1395.0,10.0,2.068363,0.5991673154609586
Ardea alba,20.562359,84.954506,1311.0,102.0,1.85,0.618346845009694
Ardea alba,21.276785,85.42592,1369.0,199.0,22.064692,0.5701682231093578
Ardea alba,20.952797,85.2414,1332.0,72.0,1.3081475,0.3864720977861732
Ardea alba,20.688938,84.649025,1339.0,174.0,5.9228897,0.6481835232215717
Ardea alba,18.14435,82.12653,1407.0,452.0,0.0,0.0390808344573765
Ardea alba,18.804262,82.7079,1592.0,886.0,4.136726,0.434268865702031
Ardea alba,20.505728,86.34175,1601.0,7.0,4.9812775,0.5240766464603568
Ardea alba,21.006514,86.29121,1583.0,24.0,0.0,0.3549188257593908
Ardea alba,20.952375,85.54297,1380.0,78.0,17.452866,0.5200465767761022
Ardea alba,21.075956,85.57668,1355.0,85.0,5.3936305,0.5666222987452273
Ardea alba,21.205244,83.92688,1542.0,152.0,2.775,0.5383599717460732
Ardea alba,20.99855,85.66856,1396.0,77.0,14.389623,0.4840396787640876
Ardea alba,20.699694,86.86993,1454.0,4.0,2.068363,0.5403501985480816
Ardea alba,21.076817,85.37184,1341.0,156.0,8.376231,0.5235959937419384
Ardea alba,21.672451,83.99242,1567.0,308.0,1.85,0.6390431651453895
Ardea alba,20.362328,85.71737,1565.0,81.0,6.734102,0.7099552515975429
Ardea alba,20.771006,86.49607,1616.0,7.0,2.068363,0.5227080149451045
Ardea alba,20.436602,85.797,1561.0,43.0,2.9251068,0.6074919824375434
Ardea alba,20.52959,86.44667,1595.0,5.0,1.85,0.522463208711935
Ardea alba,21.058823,85.29643,1337.0,122.0,0.0,0.3861514649152104
Ardea alba,21.12895,85.404755,1342.0,152.0,12.8837595,0.4899468453409379
Ardea alba,20.869335,85.324646,1348.0,68.0,2.775,0.4758038421123163
Ardea alba,21.861393,86.24399,1821.0,602.0,17.864717,0.5767995215339412
Ardea alba,20.729357,84.34981,1378.0,104.0,3.8138728,0.5613419217293225
Ardea alba,19.990301,83.216095,1398.0,234.0,11.590217,0.4992465758172457
Ardea alba,20.811413,84.771935,1371.0,299.0,22.883236,0.5522274147649752
Ardea alba,20.446758,86.43219,1585.0,7.0,2.616295,0.4941205026053179
Ardea alba,20.782131,85.72889,1499.0,51.0,6.2050886,0.5162420043559824
Ardea alba,20.785776,85.55144,1423.0,78.0,4.625,0.6222272541559823
Ardea alba,21.660465,83.7795,1509.0,220.0,1.3081475,0.5582978939607532
Ardea alba,21.078331,85.43538,1344.0,118.0,15.752182,0.5692010077592172
Ardea alba,21.009623,85.5826,1377.0,97.0,12.34104,0.5810050284960415
Ardea alba,21.455906,83.359055,1339.0,267.0,6.734102,0.5211281474132728
Ardea alba,19.922375,83.33609,1402.0,395.0,3.8138728,0.6560986999233951
Ardea alba,21.569021,83.98284,1601.0,188.0,0.0,0.113408786034905
Ardea alba,20.402615,86.49932,1557.0,3.0,0.0,0.4281217800956725
Ardea alba,21.157278,83.90299,1524.0,203.0,2.616295,0.6304514403422335
Ardea alba,21.23844,86.63759,1620.0,12.0,5.9228897,0.4899548511921341
Ardea alba,19.37595,84.58368,1347.0,56.0,17.96025,0.541555825774944
Ardea alba,21.72793,83.614685,1424.0,188.0,0.0,0.210615758739187
Ardea alba,20.573662,86.616264,1553.0,5.0,2.068363,0.4933513600516253
Ardea alba,20.910162,86.13133,1542.0,24.0,2.775,0.5106338238556748
Ardea alba,20.909063,85.28933,1339.0,64.0,4.136726,0.5211695019382546
Ardea alba,22.172533,86.31709,1469.0,307.0,0.0,0.3185121897754182
Ardea alba,20.901512,85.74493,1446.0,40.0,1.85,0.5476869044094955
Ardea alba,21.757868,87.15597,1559.0,10.0,2.775,0.4742174927101921
Ardea alba,21.940914,86.574425,1585.0,134.0,19.66577,0.7260942952381877
Ardea alba,20.464487,86.24148,1611.0,12.0,8.273452,0.4859516637871423
Ardea alba,20.711798,83.54796,1402.0,160.0,25.128695,0.4381866348038796
Ardea alba,20.554255,86.32626,1607.0,9.0,0.925,0.5311418338288844
Ardea alba,21.06329,83.211815,1347.0,203.0,25.128695,0.5112385003622442
Ardea alba,21.708607,83.545364,1402.0,204.0,0.925,0.2748247608818428
Ardea alba,19.358854,84.87019,1265.0,24.0,10.787261,0.5088390640769461
Ardea alba,21.411444,86.717834,1893.0,184.0,14.149779,0.709065865596665
Ardea alba,20.558788,85.96645,1600.0,27.0,9.110193,0.4412009600379844
Ardea alba,20.659649,86.11711,1582.0,16.0,0.925,0.4406887025669029
Ardea alba,21.081251,83.02571,1352.0,212.0,6.5407376,0.4686890301565117
Ardea alba,18.913013,82.7383,1576.0,749.0,7.9032035,0.5195649303688556
Ardea alba,20.752613,86.70903,1541.0,4.0,3.8138728,0.4658071717245912
Ardea alba,19.794954,85.29217,1350.0,4.0,0.0,0.2967178013270743
Ardea alba,20.788998,86.146126,1572.0,18.0,2.775,0.361733959504768
Ardea alba,21.007193,83.93293,1482.0,185.0,9.832885,0.6222273820715021
Ardea alba,21.34728,83.55484,1396.0,185.0,20.286835,0.4937886071365974
Ardea alba,20.630518,86.8956,1438.0,4.0,0.925,0.5300245490567962
Ardea alba,21.112288,85.47741,1341.0,109.0,13.243984,0.5742605495091179
Ardea alba,21.578238,83.47361,1371.0,203.0,4.9812775,0.4575129571135701
Ardea alba,20.506178,85.73694,1528.0,31.0,3.8138728,0.5248748968673002
Ardea alba,20.877455,86.20413,1573.0,18.0,4.136726,0.5105783357519069
Ardea alba,21.400091,83.58157,1412.0,188.0,19.069363,0.4661471032697705
Ardea alba,20.655184,85.602455,1474.0,82.0,9.433187,0.5011806158019237
Ardea alba,20.332485,86.17075,1595.0,12.0,5.3936305,0.5072129075995776
Ardea alba,21.681715,83.72829,1483.0,188.0,0.0,0.0416894221974515
Ardea alba,21.740665,83.66497,1446.0,188.0,0.0,0.0623479208804311
Ardea alba,21.453493,83.78138,1532.0,165.0,4.9812775,0.5553637250736321
Ardea alba,21.695776,87.09166,1563.0,5.0,0.925,0.4274671286847475
Ardea alba,20.590725,84.41869,1346.0,211.0,15.752182,0.6203539643969668
Ardea alba,20.947433,83.62439,1410.0,147.0,21.275,0.6046955879512614
Ardea alba,22.0465,86.71112,1503.0,64.0,0.925,0.3780252088461753
Ardea alba,19.930183,85.63418,1432.0,6.0,0.0,0.5133129334101885
Ardea alba,20.647078,83.432556,1399.0,278.0,20.683628,0.6372491187355344
Ardea alba,20.721214,83.96566,1410.0,146.0,12.95,0.5151562921328818
Ardea alba,20.864925,83.9742,1441.0,115.0,1.85,0.4912783521250756
Ardea alba,19.916155,85.73112,1434.0,7.0,0.0,0.4784263345662883
Ardea alba,19.359375,84.9831,1245.0,31.0,2.616295,0.5049295121473273
Ardea alba,20.58295,86.390594,1606.0,5.0,4.136726,0.483421563323072
Ardea alba,20.597088,85.64653,1492.0,54.0,13.243984,0.537004937088437
Ardea alba,20.114546,82.66932,1271.0,243.0,30.525,0.4254932904850731
Ardea alba,20.736612,83.41693,1396.0,218.0,30.426735,0.6130749398484903
Ardea alba,21.51233,86.92951,1582.0,9.0,6.67027,0.5463263909016006
